feature1,feature2,feature3,feature4,Feature5
3,0,1,1,15
2,31,0,0,11
3,20,0,0,7925
2,6,0,1,33
3,14,1,0,11
1,26,0,0,79
3,0,0,0,8
3,16,2,0,18
3,16,0,0,8
1,19,0,2,26
1,37,1,0,53
3,44,0,0,8
3,0,3,1,25
3,30,0,0,7225
2,36,0,0,13
1,16,0,1,39
1,42,1,0,53
3,0,0,0,8
2,27,0,0,13
1,47,0,0,52
3,24,0,0,8
1,34,0,0,27
3,19,1,0,8
3,20,0,0,9225
3,0,0,0,15
3,10,3,2,28
1,40,0,0,28
2,31,0,0,13
3,4,3,2,28
3,31,0,0,8
3,19,0,0,8
3,22,0,0,8
1,0,0,0,31
3,0,0,0,8
3,18,0,0,8
3,27,1,0,14
1,28,0,0,36
3,0,0,0,8
1,30,0,0,31
3,0,0,0,8
2,21,2,0,74
3,29,1,0,7
3,0,0,0,8
3,0,0,0,8
3,45,0,1,14
3,16,1,3,34375
3,19,0,0,8
3,23,0,0,9225
3,24,0,0,7
1,58,0,2,113275
3,5,2,1,19
1,52,1,1,94
3,40,1,4,28
1,11,1,2,120
3,65,0,0,8
1,18,0,2,80
2,32,0,0,11
1,50,0,1,248
2,35,0,0,21
3,19,0,0,8
3,21,0,0,7775
2,13,0,1,20
2,28,1,0,26
1,0,0,0,25925
3,0,0,0,8
2,57,0,0,11
2,21,0,0,74
3,29,0,0,7875
3,17,1,1,7
1,52,1,0,78
2,26,1,1,26
1,18,2,2,262375
1,26,0,0,30
1,39,1,1,83
3,23,0,0,8
3,36,1,0,16
3,30,0,0,8
1,22,0,2,50
2,38,0,0,13
3,41,0,2,20
3,16,4,1,40
2,29,0,0,11
1,40,1,1,135
3,0,0,0,8
1,56,0,0,31
1,71,0,0,50
1,31,1,0,113275
1,30,0,0,57
1,38,0,0,0
3,0,0,0,7
3,9,0,2,20525
3,9,4,2,31275
1,61,0,0,32
3,0,0,0,8
3,0,0,0,8
3,28,0,0,8
1,48,1,0,52
3,45,0,0,8
2,36,0,0,13
3,27,0,0,8
1,64,0,0,26
3,35,0,0,7125
1,19,1,0,91
3,38,0,0,7
3,30,0,0,8
3,25,1,0,7775
2,40,1,1,39
1,47,0,0,39
3,30,0,0,10
1,40,0,0,31
1,0,1,0,52
3,20,0,0,7
1,0,1,0,89
1,36,0,0,26
1,0,0,0,222
3,20,0,0,10
1,71,0,0,35
2,36,0,0,12875
2,22,1,1,29
3,48,1,3,34375
2,23,2,1,12
1,32,0,0,76
1,63,1,0,78
2,0,0,2,29
3,25,0,0,7
1,35,0,0,27
1,49,0,0,26
1,24,0,0,79
3,0,1,0,14
3,21,0,0,8
3,0,0,0,8
3,0,1,1,15
2,0,0,0,0
3,5,0,0,12475
1,49,1,0,57
3,15,1,0,14
1,0,0,0,111
3,29,0,0,7775
3,42,0,0,8
3,18,1,0,18
3,21,0,0,8
2,44,1,0,26
2,28,0,0,13
2,37,1,0,26
3,39,0,5,29125
2,34,1,1,33
2,30,0,0,13
2,66,0,0,11
1,0,1,0,147
3,43,0,0,8
3,0,0,0,9
3,24,0,0,7
3,18,0,0,8
3,0,1,0,24
3,0,0,0,8
3,0,0,0,7
3,0,0,0,56
3,0,0,0,8
2,36,1,0,26
3,32,1,1,16
3,23,0,0,7
1,0,0,0,27
2,39,0,0,13
1,0,1,0,82
3,0,0,0,8
1,65,0,1,62
2,23,0,0,11
1,0,1,0,52
3,22,0,0,8
3,35,0,0,7
1,23,0,1,63
2,18,0,2,13
1,36,0,0,26
3,9,1,1,15
3,17,0,0,7125
3,0,0,0,7225
3,38,1,5,31
2,17,0,0,11
3,4,1,1,17
1,45,0,0,29
2,23,0,0,13
3,32,0,0,7925
3,26,1,0,8
3,6,4,2,31275
1,24,0,1,248
1,45,0,0,27
2,29,1,0,28
3,0,0,0,8
1,0,0,0,36
2,42,0,0,13
3,36,1,1,24
2,33,0,0,12275
3,17,1,0,7
3,29,0,0,10
2,50,0,1,26
1,35,1,0,90
1,38,0,0,227525
2,34,0,0,13
1,17,1,0,57
3,11,4,2,31275
3,61,0,0,6
3,30,0,0,9
2,7,0,2,26
3,63,0,0,10
3,20,0,0,7
3,0,0,2,22
3,29,0,0,9
1,36,1,2,120
3,0,0,0,14
3,50,0,0,8
1,27,0,2,212
3,30,0,0,7
1,33,1,0,90
3,0,0,0,7725
3,0,3,1,25
3,2,3,1,21075
2,25,1,1,30
1,51,0,1,61
2,25,0,1,26
3,0,0,0,7
3,0,0,0,8
2,24,0,0,13
3,18,1,1,20
1,0,0,0,31
3,25,0,0,7
2,24,0,2,15
3,22,0,0,8
1,0,1,2,152
2,24,1,0,26
3,26,0,0,7925
2,34,1,0,21
1,21,2,2,262375
3,0,0,0,8
3,0,0,0,7
3,0,0,0,9
3,22,0,0,7775
1,62,0,0,80
3,18,0,0,10
1,42,0,0,227525
2,57,0,0,12
3,19,0,0,0
2,42,1,0,26
3,0,0,0,7225
3,20,0,0,9
3,34,0,0,6
3,28,0,0,10
3,0,0,0,8
3,23,0,0,8
3,22,0,0,7
1,52,0,0,31
3,30,0,0,12475
